Input.image_url,Answer.category.label
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/632288.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/456338.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/983220.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/482440.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/992150.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/695665.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/821309.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1331425.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/46676.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/35951.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/880061.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/47291.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/664485.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1193603.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/153580.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/681831.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1459467.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/166722.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/375439.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/738362.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1469366.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/418835.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/798461.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/176081.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/897431.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/269412.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1131983.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/202140.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1301425.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1480560.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1394932.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1507583.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/362637.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/506282.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1532267.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1398568.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/442800.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/511489.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1901.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/534488.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20291.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20104.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/591387.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/615836.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/616798.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/55157.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/636033.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/53965.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1147972.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/93472.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/784461.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/824273.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/188388.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1307917.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/433131.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1020257.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/209796.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/824438.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1434803.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1206636.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/390769.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1464017.png,Yes
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/482828.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1084051.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/543885.png,No
https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/39627.png,Yes
